state,district,missing_male_total_male,missing_male_below_12_years,missing_male_12_years_above_below_16_years,missing_male_16_years_above_below_18_years,missing_male_children,missing_male_18_years_above,missing_female_total_female,missing_female_below_12_years,missing_female_12_years_above_below_16_years,missing_female_16_years_above_below_18_years,missing_female_children,missing_female_18_years_above,missing_trans_gender_total_transgender,missing_transgender_below_12_years,missing_transgender_12_years_above_below_16_years,missing_transgender_16_years_above_below_18_years,missing_transgender_children,missing_transgender_18_years_above,missing_total_grand_total,missing_total_below_12_years,missing_total_12_years_above_below_14_years,missing_total_14_years_above_below_18_years,missing_total_children,missing_total_18_years_above
Andhra Pradesh,Alluri Sitharama Raju,18,2,3,4,9,9,59,6,4,9,19,40,0,0,0,0,0,0,77,8,7,13,28,49
Andhra Pradesh,Anakapalli,150,3,15,13,31,119,273,5,15,46,66,207,0,0,0,0,0,0,423,8,30,59,97,326
Andhra Pradesh,Anantapuramu,174,1,16,13,30,144,569,1,42,156,199,370,0,0,0,0,0,0,743,2,58,169,229,514
Andhra Pradesh,Annamayya,135,29,5,5,39,96,450,21,79,79,179,271,0,0,0,0,0,0,585,50,84,84,218,367
Andhra Pradesh,Bapatla,125,24,8,6,38,87,322,20,25,59,104,218,0,0,0,0,0,0,447,44,33,65,142,305
Andhra Pradesh,Chittoor,161,34,15,5,54,107,593,25,59,157,241,352,0,0,0,0,0,0,754,59,74,162,295,459
Andhra Pradesh,Dr Br Ambedkar Konaseema,159,19,10,6,35,124,253,15,12,57,84,169,0,0,0,0,0,0,412,34,22,63,119,293
Andhra Pradesh,East Godavari,241,3,17,11,31,210,408,2,41,105,148,260,0,0,0,0,0,0,649,5,58,116,179,470
Andhra Pradesh,Eluru,195,18,10,9,37,158,376,19,14,58,91,285,0,0,0,0,0,0,571,37,24,67,128,443
Andhra Pradesh,Guntakal Railway,15,0,0,0,0,15,2,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,17
Andhra Pradesh,Guntur,266,4,24,7,35,231,595,7,85,94,186,409,0,0,0,0,0,0,861,11,109,101,221,640
Andhra Pradesh,Kakinada,218,12,17,8,37,181,420,24,52,48,124,296,7,0,0,0,0,7,645,36,69,56,161,484
Andhra Pradesh,Krishna,197,23,11,10,44,153,304,26,7,3,36,268,0,0,0,0,0,0,501,49,18,13,80,421
Andhra Pradesh,Kurnool,124,2,19,6,27,97,456,45,75,86,206,250,0,0,0,0,0,0,580,47,94,92,233,347
Andhra Pradesh,Nandyal,81,9,4,3,16,65,300,10,43,42,95,205,0,0,0,0,0,0,381,19,47,45,111,270
Andhra Pradesh,Ntr,503,62,32,20,114,389,846,57,51,132,240,606,0,0,0,0,0,0,1349,119,83,152,354,995
Andhra Pradesh,Palnadu,126,11,13,10,34,92,196,18,35,26,79,117,0,0,0,0,0,0,322,29,48,36,113,209
Andhra Pradesh,Parvathipuram Manyam,36,8,2,0,10,26,109,5,21,7,33,76,0,0,0,0,0,0,145,13,23,7,43,102
Andhra Pradesh,Prakasam,174,3,16,4,23,151,456,2,72,67,141,315,0,0,0,0,0,0,630,5,88,71,164,466
Andhra Pradesh,Sri Potti Sriramulu Nellore,219,14,19,12,45,174,502,18,53,108,179,323,0,0,0,0,0,0,721,32,72,120,224,497
Andhra Pradesh,Sri Sathya Sai,134,16,17,9,42,92,456,30,28,99,157,299,0,0,0,0,0,0,590,46,45,108,199,391
Andhra Pradesh,Srikakulam,104,1,8,6,15,89,318,1,13,67,81,237,0,0,0,0,0,0,422,2,21,73,96,326
Andhra Pradesh,Tirupati,257,30,22,20,72,185,685,35,54,152,241,444,0,0,0,0,0,0,942,65,76,172,313,629
Andhra Pradesh,Viiayawada Railway,30,0,1,1,2,28,15,0,1,1,2,13,0,0,0,0,0,0,45,0,2,2,4,41
Andhra Pradesh,Visakhapatnam,336,5,15,33,53,283,393,2,39,42,83,310,0,0,0,0,0,0,729,7,54,75,136,593
Andhra Pradesh,Vizianagaram,154,13,12,7,32,122,257,18,29,41,88,169,0,0,0,0,0,0,411,31,41,48,120,291
Andhra Pradesh,West Godavari,64,2,1,0,3,61,70,3,4,9,16,54,0,0,0,0,0,0,134,5,5,9,19,115
Andhra Pradesh,Ysr,180,30,13,10,53,127,451,24,41,101,166,285,0,0,0,0,0,0,631,54,54,111,219,412
Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Changlang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
