state,district,sll_crime_against_women_related_acts_the_dowry_prohibition_act_1961,sll_the_immoral_traffic_prevention_act_1956,sll_the_protection_of_women_from_domestic_violence_act_2005,sll_the_indecent_representation_of_women_prohibition_act_2012,sll_crime_against_women_related_acts_total_col3_to_col6,sll_children_related_acts_the_protection_of_children_from_sexual_offences_act_2012,sll_the_juvenile_justice_care_and_protection_of_children_act_2000_2015,sll_the_prohibition_of_child_marriage_act_2006,sll_the_pre_natal_diagnostic_techniques_reg_and_prev_of_misuse_act_1994,sll_the_child_labour_prohibition_regulation_act_1986,sll_the_medical_termination_of_pregnancy_act_1971,sll_children_related_acts_total_col8_to_col13,sll_schedule_castes_and_scheduled_tribes_related_acts_the_scst_prevention_of_atrocities_act_1989_against_scs,sll_the_scst_prevention_of_atrocities_act_19892015_against_sts,sll_the_protection_of_civil_rights_act_1955_against_scs,sll_the_protection_of_civil_rights_act_1955_against_sts,sll_scheduled_castes_and_scheduled_tribes_related_acts_total_col15_to_col18,sll_offences_against_state_related_acts_the_prevention_of_damage_to_public_property_act_1984,sll_the_unlawful_activities_p_act_1967,sll_the_official_secrets_act_1923,sll_offences_against_state_related_acts_total_col20_to_col22,sll_armsexplosive_related_acts_the_arms_act_1959_the_arms_act_1959_total,sll_fire_arms_col26_col27,sll_a_legal_licensed_arms,sll_b_illegal_unlicensed_arms,sll_other_arms,sll_the_explosives_act_1984,sll_the_explosive_substances_act_1884_1908,sll_arms_explosive_related_acts_total_col242930,sll_information_technologyintellectual_property_related_acts_the_information_technology_act_2000,sll_the_copy_right_act_1957,sll_the_trade_marks_act_1999,sll_information_technology_intellectual_property_related_acts_total_col32_to_col34,sll_finance_economic_acts_the_lotteries_regulation_act_1998,sll_the_chit_funds_acts_1982,sll_the_negotiable_instruments_act_1881,sll_the_benami_transaction_prohibition_act_1988_2016,sll_the_mines_and_minerals_development_and_regulation_act_1957,sll_prevention_of_corruption_act_1988,sll_finance_economic_acts_total_col36_to_col41,sll_liquor_narcotic_drugs_related_acts_prohibition_act_state,sll_the_excise_act_1944,sll_the_narcotic_drugs_psychotropic_substances_act_1985_the_ndps_act_1985_total_col45_col46_col47,sll_a_possession_of_drugs_for_personal_useconsumption,sll_b_possession_of_drugs_for_trafficking,sll_liquor_narcotic_drugs_related_acts_total_col43_to_45,sll_environment_pollution_related_acts_the_forest_act_1927_the_forest_conservation_act_1980,sll_the_wildlife_protection_act_1972,sll_the_environmental_protection_act_1986,sll_the_air_the_water_prevention_control_of_pollution_act,sll_the_cigarette_and_other_tobacco_products_act_2003,sll_noise_pollution_acts,sll_the_national_green_tribunal_act_2010,sll_environment_pollution_related_acts_total_col49_to_col55,sll_foreigner_passport_related_acts_the_registration_of_foreigners_act1939_the_foreigners_act_1946,sll_the_passport_act_1967,sll_the_emigration_act_1983,sll_the_citizenship_act_1955,sll_foreigner_passport_related_acts_total_col57_to_col60,sll_railways_related_acts_the_indian_railways_act_1989,sll_the_railway_property_unlawful_possession_act_1966,sll_railways_related_acts_total_col62col63,sll_telegraph_cinematograph_acts_the_indian_telegraph_act_1988,sll_the_telegraph_wire_unlawful_possession_act_1950,sll_the_cinematograph_act_1952,sll_the_cable_television_networks_regulation_act_1955,sll_telegraph_cinematograph_acts_total_col65_to_col68,sll_food_drugs_and_essential_commodities_acts_the_essential_commodities_act_1955,sll_the_prevention_of_food_adulteration_act_1954,sll_the_food_safety_standards_act_2006,sll_food_drugs_and_essential_commodities_acts_total_col70_to_col72,sll_other_regulatory_enforcement_acts_macoca_control_of_organised_crimes,sll_the_gambling_act,sll_the_electricity_act_2003,sll_the_antiques_and_art_treasures_act_1972,sll_the_representation_of_the_people_act_1951,sll_the_bonded_labour_system_abolition_act_the_bonded_labour_system_abolition_act_1976_total_col79_col80_col81_col82,sll_a_against_sc,sll_b_against_st,sll_c_against_others,sll_the_prevention_of_insults_to_national_honour_act_1971,sll_defacement_of_public_property_acts,sll_the_transplantation_of_human_organs_act_1994,sll_transgender_persons_protection_of_rights_act,sll_rights_of_persons_with_disabilities_act,sll_prevention_of_cruelty_to_animals_act,sll_the_mental_health_act_1987,sll_motor_vehicle_act,sll_citytown_police_acts,sll_other_state_local_acts,sll_other_regulatory_enforcement_acts_total_col74_to_79_col83_to_92,sll_other_sll_crimes,sll_total_cognizable_sll_crimes
Andhra Pradesh,Alluri Sitharama Raju,0,0,0,0,0,14,0,0,0,0,0,14,2,1,0,0,3,0,2,0,2,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,209,258,404,88,316,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,142,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,146,4,1043
Andhra Pradesh,Anakapalli,0,1,0,0,1,27,0,0,0,0,0,27,10,0,1,0,11,0,0,0,0,5,5,0,5,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,474,1999,159,114,45,2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,672,43,3406
Andhra Pradesh,Anantapuramu,0,5,0,0,5,61,0,0,0,0,0,61,5,1,0,0,6,0,0,0,0,2,2,0,2,0,18,0,20,2,2,0,4,0,0,0,0,41,0,41,222,970,15,0,15,1207,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,35,0,396,26,0,10,0,0,0,0,0,0,0,0,0,7,1,0,0,0,440,1,1821
Andhra Pradesh,Annamayya,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,243,901,20,20,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,776,396,2390
Andhra Pradesh,Bapatla,0,0,0,0,0,61,2,0,0,0,0,63,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,4,0,0,0,0,0,4,76,1162,15,9,6,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,12,1428
Andhra Pradesh,Chittoor,0,4,0,0,4,40,0,0,0,0,0,40,3,0,0,0,3,0,0,0,0,17,17,0,17,0,0,0,17,3,0,0,3,23,0,0,0,0,0,23,372,881,58,57,1,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,13,1645
Andhra Pradesh,Dr Br Ambedkar Konaseema,0,3,0,0,3,60,0,0,0,0,0,60,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,114,741,10,7,3,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,710,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,712,13,1659
Andhra Pradesh,East Godavari,0,8,0,0,8,65,0,1,0,0,0,66,2,0,1,0,3,0,0,0,0,2,2,1,1,0,0,0,2,40,1,0,41,0,0,0,0,1,0,1,412,437,67,32,35,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,908,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,913,13,1966
Andhra Pradesh,Eluru,0,1,0,0,1,158,2,2,0,0,0,162,0,0,0,0,0,0,0,0,0,13,13,0,13,0,0,0,13,2,0,0,2,0,0,0,0,0,0,0,325,1130,10,0,10,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1220,13,2889
Andhra Pradesh,Guntakal Railway,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,19,19,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
