state,district,women_rape_sec_64_6870_71_bnssec376_ipc_rape_total_ab,women_a_women_18_years_and_above,women_b_girls_below_18_years,women_sexual_intercourse_by_employing_deceitful_means_sec_69_bns,women_murder_with_rapegang_rape_sec_103_rw_sec_64_6870_71_bns_sec_302_rw_376_ipc,women_attempt_to_commit_rape_sec_64_rw_62_bnssec376_rw_511_ipc_attempt_to_commit_rape_total_ab,women_assault_on_women_with_intent_to_outrage_her_modesty_sec_74_bnssec354_ipc_assault_on_women_with_intent_to_outrage_her_modesty_total_ab,women_sexual_harassment_sec_75_bnssec354a_ipc_sexual_harassment_total_ab,women_assault_or_use_of_criminal_force_with_intent_to_disrobe_sec_76_bnssec_354b_ipc_assault_or_use_of_criminal_force_with_intent_to_disrobe_total_ab,women_voyeurism_sec_77_bnssec_354c_ipc_voyeurism_total_ab,women_stalking_sec_78_bnssec_354d_ipc_stalking_total_ab,women_insult_to_the_modesty_of_women_sec_79_bnssec_509_ipc_insult_to_the_modesty_of_women_total_ab,women_dowry_deaths_sec_80_bns_sec_304b_ipc,women_cruelty_by_husband_or_his_relatives_sec_85_bnssec_498_a_ipc,women_kidnapping_or_abducting_or_inducing_women_to_compel_her_for_marriage_sec_87_bnssec_366_ipc_kidnapping_or_abducting_or_inducing_women_to_compel_her_for_marriage_total_ab,women_miscarriage_sec_88_to_90_bnssec_313_and_314_ipc,women_procuration_of_minor_girls_sec_96_bnssec_366a_ipc,women_selling_of_girls_for_prostitution_sec_98_bnssec_372_ipc,women_buying_of_girls_for_prostitution_sec_99_bnssec_373_ipc,women_abetment_to_suicides_of_women_us_107108_bnssec_305306_ipc,women_acid_attack_sec_1241_bnssec_326a_ipc,women_attempt_to_acid_attack_sec_1242_bnssec_326b_ipc,women_kidnapping_abduction_of_women_kidnapping_abduction_of_women_total_abcde,women_a_k_a_sec137_138_bnssec_363_ipc,women_kidnapping_abduction_of_women_b_k_a_in_order_to_murder_sec1401_bnssec_364_ipc,women_c_kidnapping_for_ransom_sec_1402_bnssec_364a_ipc,women_d_importation_of_girls_from_foreign_country_sec_141_bnssec_366_b_ipc,women_kidnapping_abduction_of_women_e_ka_of_women_others_sec_1403_1404142_bnssec_365_367_368_ipc,women_total_ipcbns_crimes_against_women,women_dowry_prohibition_act_1961,women_immoral_traffic_prevention_act_1956_women_victim_cases_only_immoral_traffic_prevention_act_total_abcde,women_a_procuring_inducing_children_for_the_sake_of_prostitution_sec_5,women_b_detaining_a_person_in_premises_where_prostitution_is_carried_onsec_6,women_immoral_traffic_prevention_act_1956_women_victim_cases_only_c_prostitution_in_or_in_the_vicinity_of_public_places_sec_7,women_d_seducing_or_soliciting_for_purpose_of_prostitution_sec_8,women_e_other_sections_under_itp_act,women_protection_of_women_from_domestic_violence_act_2005,women_cyber_crimesinformation_technology_act_women_centric_crimes_only_cyber_crimesinformation_technology_act_total_ab,women_a_publishing_or_transmitting_of_sexually_explicit_material_sec_67a67bgirls_it_act,women_b_other_women_centric_cyber_crimes_ex_blackmailingdefamationmorphingfake_profile,women_protection_of_children_from_sexual_violence_act_girl_child_victims_only_pocso_act_total_abcde,women_a_pocso_act_sec_4_6,women_b_pocso_act_sec_8_10,women_protection_of_children_from_sexual_violence_act_girl_child_victims_only_c_pocso_act_sec_12,women_d_pocso_act_sec_14_15,women_e_pocso_act_sec_17_22,women_indecent_representation_of_women_prohibition_act_1986,women_total_sll_crimes_against_women,women_total_crime_against_women_ipcbns_sll_crimes
Andhra Pradesh,Alluri Sitharama Raju,18,0,0,3,1,0,5,11,0,0,2,2,0,46,0,0,0,0,0,3,0,0,2,2,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,14,107
Andhra Pradesh,Anakapalli,15,0,0,0,0,2,76,29,9,4,20,33,0,149,0,0,0,0,0,10,0,0,15,14,0,0,0,1,362,0,1,0,0,1,0,0,0,0,0,0,27,19,2,6,0,0,0,28,390
Andhra Pradesh,Anantapuramu,11,6,3,1,0,4,86,29,7,2,55,25,3,420,9,0,6,0,0,23,0,0,4,4,0,0,0,0,685,0,0,0,0,0,0,0,0,1,1,0,61,28,9,24,0,0,0,62,747
Andhra Pradesh,Annamayya,5,1,9,0,0,0,14,16,1,2,20,57,3,185,10,0,1,0,0,6,0,1,2,2,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,18,13,0,5,0,0,0,18,341
Andhra Pradesh,Bapatla,11,0,1,3,0,5,86,35,1,9,19,95,3,347,1,0,0,0,0,9,0,0,1,1,0,0,0,0,625,0,0,0,0,0,0,0,0,1,0,1,61,31,11,19,0,0,0,62,687
Andhra Pradesh,Chittoor,8,6,1,0,1,9,87,34,6,1,15,10,4,277,7,0,0,0,0,10,0,0,11,11,0,0,0,0,480,0,4,0,0,0,0,4,0,0,0,0,40,31,0,9,0,0,0,44,524
Andhra Pradesh,Dr Br Ambedkar Konaseema,27,0,4,1,0,4,97,33,6,8,19,46,1,332,4,0,3,0,0,4,0,0,22,19,0,0,0,3,607,0,1,0,0,0,0,1,0,0,0,0,60,39,14,6,1,0,0,61,668
Andhra Pradesh,East Godavari,31,1,2,0,1,2,81,58,7,6,55,68,4,382,3,0,1,0,0,8,0,0,19,16,0,0,0,3,726,0,0,0,0,0,0,0,0,0,0,0,65,31,31,3,0,0,0,65,791
Andhra Pradesh,Eluru,16,0,4,9,0,5,113,38,28,2,71,132,2,462,4,0,0,0,0,10,0,0,15,15,0,0,0,0,907,0,1,0,0,0,0,1,0,9,2,7,158,62,26,70,0,0,0,168,1075
Andhra Pradesh,Guntakal Railway,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7
Andhra Pradesh,Guntur,27,1,9,6,0,6,136,53,4,13,53,522,4,673,10,0,5,0,0,19,0,1,30,24,0,0,0,6,1562,0,7,0,0,0,0,7,0,0,0,0,114,52,55,5,2,0,0,121,1683
Andhra Pradesh,Kakinada,22,1,13,3,0,9,118,33,2,3,23,66,4,395,14,0,0,0,0,6,0,0,8,0,0,0,0,8,706,0,0,0,0,0,0,0,0,9,8,1,77,43,29,1,0,4,0,86,792
Andhra Pradesh,Krishna,25,0,8,3,0,3,108,46,13,8,56,179,1,469,8,0,0,0,0,22,0,0,114,114,0,0,0,0,1055,0,0,0,0,0,0,0,0,4,4,0,104,53,48,3,0,0,0,108,1163
Andhra Pradesh,Kurnool,11,6,0,0,0,4,96,26,10,4,33,169,0,424,6,0,2,0,0,5,0,0,1,1,0,0,0,0,791,0,0,0,0,0,0,0,0,3,3,0,64,31,12,12,9,0,0,67,858
Andhra Pradesh,Nandyal,0,1,2,3,0,3,110,28,8,3,27,283,1,287,3,1,3,0,0,14,0,0,3,1,0,1,0,1,777,1,0,0,0,0,0,0,0,4,4,0,63,31,2,30,0,0,0,68,845
