state,district,sc_scst_prevention_of_atrocities_act_1989_rw_ipcbns_cases_total,sc_scst_prevention_of_atrocities_act_1989_rw_ipcbns_cases_rape_sec_64_6870_71_bnssec376_ipc_rape_total_ab,sc_a_rape_of_women_above_18_years,sc_b_rape_of_children_children_below_18_yrs_64_6870_71_bns_or_section_46_of_pocso_or_pocso_46_rw_64_68rw_376_ipc_or_64_6870_71bns,sc_attempt_to_commit_rape_section_64_6870_71_rw_62_bnssection_376511_ipc,sc_assault_on_women_with_intent_to_outrage_her_modesty_section_74_bnssec354_ipc_assault_on_women_with_intent_to_outrage_her_modesty_total_ab,sc_a_assault_of_women_above_18_yrs,sc_bassault_of_children_bns_74_or_pocso_act_810_or_pocso_act_sec_810_rw_74_bns_children_below_18yrs,sc_sexual_harassment_section_75_bnssection_354a_ipc_sexual_harassment_total_ab,sc_a_sexual_harassment_of_women_above_18_yrs,sc_b_sexual_harassment_of_children_below_18_yrs_bns_75_or_pocso_sec_12_or_pocso_sec_12_rw_75_bns,sc_assault_or_use_of_criminal_force_to_women_with_intent_to_disrobe_section_76_bnssection_354b_ipc,sc_voyeurism_section_77_bnssection_354c_ipc,sc_stalking_section_78_bnssection_354d_ipc,sc_insult_to_the_modesty_of_women_section_79_bnssection_509_ipc,sc_kidnapping_or_abduction_or_inducing_of_girls_to_compel_for_marriage_section_87_bnssection_366_ipc,sc_procuration_of_children_section_96_bnssection_366a_ipc_procuration_of_children_total_ab,sc_a_procuration_of_girls,sc_b_procuration_of_boys,sc_murder_section_103_104_bns_section_302_ipc,sc_attempt_to_commit_murder_section_109_bnssection_307_ipc,sc_grievous_hurt_section_1172_11812121132125124etc_bns_grievous_hurt_total_abcd,sc_a_grievous_hurt_section_1172_bnssection_325_326_ipc,sc_b_acid_attack_section_1241_bnssection_326a_ipc,sc_c_attempt_to_acid_attack_section_1242_bnssection_326a_ipc,sc_d_other_hurt_or_grievous_hurt_sections_11812121132125124_etc_bnssecs_329331333335_ipc,sc_kidnapping_abduction_section_137_138_bnssection_363363a_364364a_365_366_366a_367_368_369_ipc_kidnapping_abduction_total,sc_ka_section_137_138_bnssection_363_ipc_total_abc,sc_a_missing_children_deemed_as_kidnapped,sc_b_children_kidnapped_section_137_138,sc_c_kidnapping_abduction_of_adults,sc_k_a_for_the_purpose_of_begging_section_139_bnssection_363a_ipc,sc_ka_in_order_to_murder_section_1401_bnssection_364_ipc,sc_kidnapping_for_ransom_etc_section_1402_bnssection_364a_ipc,sc_other_kidnapping_abduction_sec_14034_142_97_bnssec_365_366b_367_368_369_ipc,sc_rioting_sections_1901896189519121913_bnssections_147_151_ipc,sc_robbery_section_30943096_311_bnssection_392_to_394_397_398_ipc,sc_dacoity_section_3102_3103_311_bnssection_395396_397_398_ipc_total_ab,sc_a_dacoity_with_murder_section_3103311_bnssection_396_ipc,sc_b_dacoity_section_3102_bnssection_395396_397_398_ipc,sc_arson_section_326f_326g_3272_bnssection_435_436_438_ipc,sc_other_ipcbns_crimes,sc_sc_st_prevention_of_atrocities_act_only_without_ipcbns_sc_st_prevention_of_atrocities_act_only_without_ipcbns_total_abcde,sc_a_intentionally_insult_or_intimidate_with_intent_to_humiliate_section_3a_3e_3i_3r_3s,sc_b_occupydisposes_land_belongs_to_scsstssection_3f_3g,sc_c_prevent_or_deny_or_obstruct_usage_of_public_placepassage_water_bodytempleetc_section_3y_3za,sc_d_force_to_leave_place_of_residencesocial_boycott_section_3z_3zc,sc_e_other_offences_poa_act_without_ipcbns_only,sc_total_of_scst_prevention_of_atrocities_act_sum_with_ipcbns_without_ipcbns_crimes,sc_protection_of_civil_rights_act_1955,sc_total_crimeatrocities_against_scheduled_castes_ipcbnssll_crimes
Andhra Pradesh,Alluri Sitharama Raju,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,3,0,3
Andhra Pradesh,Anakapalli,45,2,0,2,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,2,5,2,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,26,10,0,0,0,0,10,55,1,56
Andhra Pradesh,Anantapuramu,132,4,4,0,1,8,8,0,3,3,0,0,0,2,3,2,0,0,0,3,7,19,1,0,0,18,2,2,0,0,2,0,0,0,0,2,0,0,0,0,1,75,5,5,0,0,0,0,137,0,137
Andhra Pradesh,Annamayya,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,42,0,42
Andhra Pradesh,Bapatla,78,3,1,2,0,3,3,0,2,2,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,0,0,0,0,79,0,79
Andhra Pradesh,Chittoor,65,5,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,3,0,0,0,0,68,0,68
Andhra Pradesh,Dr Br Ambedkar Konaseema,37,5,2,3,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,2,1,0,0,0,1,39,0,39
Andhra Pradesh,East Godavari,66,8,4,4,0,5,4,1,1,1,0,0,1,0,3,1,0,0,0,0,4,4,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,37,2,2,0,0,0,0,68,1,69
Andhra Pradesh,Eluru,94,15,5,10,0,9,6,3,1,1,0,2,0,2,2,0,0,0,0,1,5,7,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,94,0,94
Andhra Pradesh,Guntakal Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Guntur,105,6,1,5,1,2,1,1,5,5,0,0,0,0,12,0,0,0,0,6,6,9,0,0,0,9,4,3,1,0,2,0,0,1,0,3,0,0,0,0,0,51,0,0,0,0,0,0,105,0,105
Andhra Pradesh,Kakinada,58,9,1,8,0,3,2,1,2,2,0,0,0,1,0,0,0,0,0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,3,2,0,0,0,1,61,0,61
Andhra Pradesh,Krishna,69,14,14,0,0,10,10,0,0,0,0,0,0,0,6,0,0,0,0,1,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,1,70,0,70
Andhra Pradesh,Kurnool,108,3,2,1,0,10,10,0,3,1,2,0,0,0,2,0,0,0,0,3,3,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4,4,0,0,0,0,112,0,112
Andhra Pradesh,Nandyal,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,40,0,40
Andhra Pradesh,Ntr,68,13,6,7,0,8,7,1,5,5,0,0,0,3,7,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,68,0,68
Andhra Pradesh,Palnadu,85,2,1,1,0,3,3,0,2,2,0,0,0,0,7,0,0,0,0,3,2,13,0,0,0,13,1,1,0,0,1,0,0,0,0,11,0,0,0,0,1,40,0,0,0,0,0,0,85,0,85
Andhra Pradesh,Parvathipuram Manyam,23,5,4,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,23,0,23
Andhra Pradesh,Prakasam,127,4,0,4,0,9,7,2,2,2,0,0,0,2,0,1,0,0,0,1,5,18,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,82,2,2,0,0,0,0,129,0,129
Andhra Pradesh,Sri Potti Sriramulu Nellore,85,5,2,3,0,3,3,0,1,1,0,0,0,1,4,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,3,0,0,0,0,3,88,0,88
Andhra Pradesh,Sri Sathya Sai,77,5,4,1,1,7,6,1,2,2,0,0,0,1,1,0,0,0,0,4,4,8,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,2,2,0,0,0,0,79,0,79
