state,district,total_ipc_crimes,total_sll_crimes,total_crime_burden,violent_crime_total,property_crime_total,arms_act_cases,ndps_narcotics_cases,contraband_enforcement_total,crimes_against_women_total,crimes_against_children_total,crimes_against_sc_total,crimes_against_st_total,sc_st_atrocities_total,juvenile_ipc_crimes_total,cybercrimes_total,missing_persons_total,missing_children_total,violent_crime_ratio,property_crime_ratio,women_vulnerability_share,child_vulnerability_share,caste_atrocity_share,juvenile_delinquency_ratio,cyber_crime_intensity_per_1k,trafficking_vulnerability_proxy
A&N Islands,Nicobar,60,388,448,2,5,0,109,109,114,111,0,0,0,4,4,9,0,0.0333,0.0833,1.9,1.85,0.0,0.0667,66.6667,0.0
A&N Islands,North & Middle Andaman,388,1265,1653,11,22,0,425,425,142,136,0,0,0,23,35,100,16,0.0284,0.0567,0.366,0.3505,0.0,0.0593,90.2062,3.2
A&N Islands,South Andaman,1449,1944,3393,26,161,0,664,664,319,301,0,4,4,26,56,353,104,0.0179,0.1111,0.2202,0.2077,0.0028,0.0179,38.6473,2.9714
Andhra Pradesh,Alluri Sitharama Raju,2735,3531,6266,62,82,2,1890,1892,337,79,12,33,45,0,105,259,112,0.0227,0.03,0.1232,0.0289,0.0165,0.0,38.3912,18.6667
Andhra Pradesh,Anakapalli,10569,10344,20913,94,488,10,3450,3460,1213,165,230,52,282,82,388,1366,388,0.0089,0.0462,0.1148,0.0156,0.0267,0.0078,36.7111,16.1667
Andhra Pradesh,Anantapuramu,17171,5481,22652,163,625,4,1529,1533,2316,606,586,133,719,138,134,2458,916,0.0095,0.0364,0.1349,0.0353,0.0419,0.008,7.8039,183.2
Andhra Pradesh,Annamayya,12690,6794,19484,124,329,0,1465,1465,1053,112,169,83,252,0,104,1973,872,0.0098,0.0259,0.083,0.0088,0.0199,0.0,8.1954,72.6667
Andhra Pradesh,Bapatla,11893,4287,16180,85,537,0,1359,1359,2125,261,324,88,412,0,280,1483,568,0.0071,0.0452,0.1787,0.0219,0.0346,0.0,23.5433,568.0
Andhra Pradesh,Chittoor,12162,5014,17176,138,537,34,1877,1911,1634,277,294,51,345,116,137,2557,1180,0.0113,0.0442,0.1344,0.0228,0.0284,0.0095,11.2646,118.0
Andhra Pradesh,Dr Br Ambedkar Konaseema,13776,4974,18750,113,667,0,1003,1003,2091,352,167,5,172,41,27,1355,476,0.0082,0.0484,0.1518,0.0256,0.0125,0.003,1.9599,14.875
Andhra Pradesh,East Godavari,14920,5956,20876,120,1225,4,1468,1472,2460,436,292,0,292,238,208,2126,716,0.008,0.0821,0.1649,0.0292,0.0196,0.016,13.941,17.0476
