city,ipc_2022,ipc_2023,ipc_2024,ipc_actual_population_in_lakhs_2011,ipc_rate_of_cognizable_crimes_ipc_2024,ipc_chargesheeting_rate_2024,total_2022,total_2023,total_2024,total_actual_population_in_lakhs_2011,total_rate_of_cognizable_crimes_ipcsll_2024,total_chargesheeting_rate_2024,women_2022,women_2023,women_2024,women_actual_population_in_lakhs_2011,women_rate_of_total_crime_against_women_2024,women_chargesheeting_rate_2024,child_2022,child_2023,child_2024,child_chargesheeting_rate_2024,murder_gain,murder_personal_vendetta_or_enmity,murder_dowry,murder_witchcraft,murder_child_human_sacrifice,murder_communal_religious,murder_casteism,murder_sl,murder_city,murder_class_conflict,murder_for_political_reason,murder_honour_killing,murder_love_affairs,murder_illicit_relationship,murder_extremism_insurgency,murder_during_dacoity_robbery,murder_gang_rivalry,murder_psychopathserial_killers,murder_sale_of_body_parts,murder_disputes_disputes_total,murder_property_land_dispute,murder_family_dispute,murder_petty_quarrel_dispute,murder_disputes_money_dispute,murder_water_dispute,murder_due_to_accidents_on_roads,murder_blind_murderno_cluemotive_not_known,murder_other_causes_or_motive,murder_total_motives_of_murder,cyber_personal_revenge,cyber_emotional_motives_like_anger_etc,cyber_fraud,cyber_extortion,cyber_causing_disrepute,cyber_prank,cyber_sl,cyber_city,cyber_sexual_exploitation,cyber_political_motives,cyber_terrorist_activities,cyber_inciting_hate_against_country,cyber_disrupt_public_service,cyber_sale_purchase_illegal_drugs,cyber_developing_own_business,cyber_spreading_piracy,cyber_psycho_or_pervert,cyber_steal_information,cyber_abetment_to_suicide,cyber_others,cyber_total,juv_socio_education_illiterate,juv_socio_upto_primary,juv_socio_above_primary_to_matric,juv_socio_above_matric_to_high_secondary,juv_socio_above_higher_secondary,juv_socio_total,juv_socio_family_background_living_with_parents,juv_socio_living_with_guardians,juv_socio_homeless
Agra,6947.0,7026.0,8066.0,17.5,462.0,80.9,7781.0,8138.0,9422.0,17.5,539.6,82.7,962.0,1030.0,1098.0,8.0,136.6,85.5,0.0,171.0,125.0,94.5,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,53.0,0.0,0.0,136.0,13.0,25.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amritsar,2815.0,2990.0,2245.0,11.8,189.6,70.6,4959.0,3844.0,3180.0,11.8,268.6,76.1,226.0,306.0,256.0,5.5,46.2,81.5,127.0,145.0,98.0,70.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,3.0,12.0,1.0,0.0,0.0,2.0,0.0,29.0,1.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,12.0,23.0,6.0,0.0,46.0,15.0,25.0,6.0
Asansol,4519.0,4568.0,4702.0,12.4,378.3,83.9,5206.0,5345.0,5355.0,12.4,430.8,80.3,447.0,695.0,722.0,6.0,121.3,87.9,99.0,142.0,145.0,66.7,0.0,3.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,56.0,3.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Chhatrapati Sambhajinagar,5345.0,5814.0,5994.0,11.9,504.1,68.0,7141.0,8047.0,8356.0,11.9,702.8,76.5,834.0,977.0,1064.0,5.7,186.9,83.6,349.0,420.0,427.0,52.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,37.0,1.0,10.0,25.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,3.0,49.0,0.0,8.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,74.0,0.0,28.0,158.0,4.0,0.0,190.0,190.0,0.0,0.0
Bhopal,15339.0,15507.0,12852.0,18.8,682.5,74.3,21332.0,21441.0,17126.0,18.8,909.5,80.8,2047.0,1886.0,1747.0,9.0,194.5,78.1,1056.0,1188.0,1226.0,49.1,1.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,7.0,8.0,0.0,0.0,0.0,3.0,13.0,42.0,0.0,0.0,56.0,7.0,7.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,39.0,221.0,42.0,37.0,344.0,242.0,102.0,0.0
Chandigarh City,2941.0,3285.0,3621.0,10.3,352.9,63.6,3658.0,4185.0,4069.0,10.3,396.6,70.4,325.0,371.0,452.0,4.6,97.7,63.5,224.0,294.0,255.0,36.4,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,22.0,2.0,0.0,93.0,3.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,116.0,8.0,21.0,46.0,25.0,0.0,100.0,93.0,7.0,0.0
Dhanbad,2476.0,2430.0,2654.0,11.9,222.1,96.9,3326.0,3270.0,2979.0,11.9,249.3,77.5,297.0,302.0,141.0,5.6,25.1,89.7,76.0,77.0,29.0,100.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durg-Bhilainagar,5665.0,5213.0,5814.0,10.6,546.4,77.7,8395.0,7340.0,7329.0,10.6,688.8,82.6,589.0,504.0,451.0,5.2,87.0,68.6,390.0,374.0,412.0,51.7,1.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,13.0,118.0,21.0,0.0,152.0,148.0,4.0,0.0
Faridabad,9398.0,10294.0,9437.0,14.1,671.7,51.5,14042.0,15062.0,13323.0,14.1,948.3,66.2,1213.0,1424.0,1341.0,6.5,205.0,63.4,736.0,780.0,968.0,38.7,5.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,10.0,6.0,1.0,2.0,1.0,0.0,0.0,6.0,39.0,79.0,0.0,5.0,19.0,2.0,0.0,2.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,53.0,84.0,46.0,24.0,19.0,2.0,175.0,48.0,36.0,91.0
Gwalior,9436.0,9463.0,8321.0,11.0,755.1,79.0,12707.0,13269.0,9893.0,11.0,897.7,82.3,1128.0,1159.0,1112.0,5.1,216.7,86.9,459.0,603.0,665.0,60.3,0.0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,2.0,5.0,9.0,2.0,0.0,0.0,2.0,0.0,35.0,0.0,0.0,51.0,3.0,8.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,24.0,31.0,49.0,104.0,80.0,24.0,0.0
