city,ipc_crimes_2022,ipc_crimes_2023,ipc_crimes_2024,ipc_cagr_2022_2024,population_lakhs,crime_rate_per_lakh,chargesheeting_rate,policing_efficiency_index,women_crimes_2022,women_crimes_2024,women_crime_cagr,child_crimes_2022,child_crimes_2024,child_crime_cagr
Agra,6947.0,7026.0,8066.0,7.75,17.5,462.0,80.9,0.1751,962.0,1098.0,6.84,0.0,125.0,0.0
Amritsar,2815.0,2990.0,2245.0,-10.7,11.8,189.6,70.6,0.3724,226.0,256.0,6.43,127.0,98.0,-12.16
Asansol,4519.0,4568.0,4702.0,2.0,12.4,378.3,83.9,0.2218,447.0,722.0,27.09,99.0,145.0,21.02
Chhatrapati Sambhajinagar,5345.0,5814.0,5994.0,5.9,11.9,504.1,68.0,0.1349,834.0,1064.0,12.95,349.0,427.0,10.61
Bhopal,15339.0,15507.0,12852.0,-8.47,18.8,682.5,74.3,0.1089,2047.0,1747.0,-7.62,1056.0,1226.0,7.75
Chandigarh City,2941.0,3285.0,3621.0,10.96,10.3,352.9,63.6,0.1802,325.0,452.0,17.93,224.0,255.0,6.7
Dhanbad,2476.0,2430.0,2654.0,3.53,11.9,222.1,96.9,0.4363,297.0,141.0,-31.1,76.0,29.0,-38.23
Durg-Bhilainagar,5665.0,5213.0,5814.0,1.31,10.6,546.4,77.7,0.1422,589.0,451.0,-12.5,390.0,412.0,2.78
Faridabad,9398.0,10294.0,9437.0,0.21,14.1,671.7,51.5,0.0767,1213.0,1341.0,5.14,736.0,968.0,14.68
Gwalior,9436.0,9463.0,8321.0,-6.09,11.0,755.1,79.0,0.1046,1128.0,1112.0,-0.71,459.0,665.0,20.37
Jabalpur,9763.0,8204.0,8944.0,-4.29,12.7,705.4,86.6,0.1228,1039.0,813.0,-11.54,594.0,473.0,-10.76
Jamshedpur,2863.0,2386.0,2287.0,-10.62,13.4,171.1,60.8,0.3553,330.0,319.0,-1.68,16.0,43.0,63.94
Jodhpur,7695.0,7663.0,6632.0,-7.16,11.4,582.8,43.5,0.0746,1380.0,907.0,-18.93,337.0,317.0,-3.01
Kannur,3536.0,4085.0,3862.0,4.51,16.4,235.1,92.4,0.393,370.0,415.0,5.91,132.0,136.0,1.5
Kollam,7539.0,11191.0,10349.0,17.16,11.1,932.3,96.7,0.1037,809.0,708.0,-6.45,203.0,266.0,14.47
Kota,5301.0,5667.0,4673.0,-6.11,10.0,466.8,48.4,0.1037,1090.0,648.0,-22.9,340.0,285.0,-8.44
Ludhiana,4706.0,4081.0,3826.0,-9.83,16.1,237.1,62.3,0.2628,626.0,502.0,-10.45,275.0,368.0,15.68
Madurai,4121.0,4187.0,3354.0,-9.78,14.6,229.4,52.7,0.2297,283.0,233.0,-9.26,148.0,129.0,-6.64
Malappuram,4235.0,5466.0,2751.0,-19.4,17.0,161.9,89.9,0.5553,401.0,439.0,4.63,184.0,200.0,4.26
Meerut,5113.0,4725.0,4964.0,-1.47,14.3,348.4,74.9,0.215,825.0,827.0,0.12,289.0,152.0,-27.48
Nasik,3547.0,4768.0,4763.0,15.88,15.6,304.7,56.4,0.1851,550.0,813.0,21.58,404.0,493.0,10.47
Prayagraj,4529.0,4079.0,3657.0,-10.14,12.2,300.5,62.0,0.2063,496.0,510.0,1.4,49.0,56.0,6.9
Raipur,6791.0,6076.0,5905.0,-6.75,11.2,525.8,66.1,0.1257,825.0,611.0,-13.94,500.0,396.0,-11.01
Rajkot,6852.0,5368.0,5112.0,-13.63,13.9,367.5,87.7,0.2386,345.0,334.0,-1.61,127.0,171.0,16.04
Ranchi,4330.0,4533.0,4129.0,-2.35,11.3,366.4,48.4,0.1321,332.0,308.0,-3.68,51.0,34.0,-18.35
Srinagar,2725.0,2377.0,2022.0,-13.86,12.7,158.8,67.4,0.4244,446.0,339.0,-12.82,108.0,16.0,-61.51
Thiruvananthapuram,14353.0,19606.0,18749.0,14.29,16.9,1111.4,95.3,0.0857,591.0,713.0,9.84,223.0,262.0,8.39
Thrissur,8939.0,10136.0,8550.0,-2.2,18.5,460.9,92.6,0.2009,822.0,683.0,-8.85,281.0,205.0,-14.59
Tiruchirapalli,2352.0,2367.0,2013.0,-7.49,10.2,197.0,66.8,0.3391,110.0,108.0,-0.91,75.0,111.0,21.66
Vadodara,3460.0,4320.0,4448.0,13.38,18.2,244.8,85.0,0.3472,218.0,286.0,14.54,108.0,174.0,26.93
Varanasi,3902.0,4951.0,5894.0,22.9,14.4,410.7,81.4,0.1982,534.0,876.0,28.08,145.0,232.0,26.49
Vasai Virar,5702.0,5657.0,5158.0,-4.89,12.2,422.4,71.9,0.1702,1154.0,1115.0,-1.7,749.0,810.0,3.99
Ntr (Vijayawada),13694.0,11157.0,6634.0,-30.4,14.9,444.9,84.4,0.1897,2366.0,1656.0,-16.34,554.0,267.0,-30.58
Vishakhapatnam,7980.0,5186.0,5973.0,-13.48,17.3,345.3,90.5,0.2621,1329.0,1182.0,-5.69,178.0,151.0,-7.9
+' Crime Rate Is Calculated As Crime Per One Lakh Of Population.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
