city,ipc_2022,ipc_2023,ipc_2024,ipc_actual_population_in_lakhs_2011,ipc_rate_of_cognizable_crimes_ipc_2024,ipc_chargesheeting_rate_2024
Agra,6947.0,7026.0,8066.0,17.5,462.0,80.9
Amritsar,2815.0,2990.0,2245.0,11.8,189.6,70.6
Asansol,4519.0,4568.0,4702.0,12.4,378.3,83.9
Chhatrapati Sambhajinagar,5345.0,5814.0,5994.0,11.9,504.1,68.0
Bhopal,15339.0,15507.0,12852.0,18.8,682.5,74.3
Chandigarh City,2941.0,3285.0,3621.0,10.3,352.9,63.6
Dhanbad,2476.0,2430.0,2654.0,11.9,222.1,96.9
Durg-Bhilainagar,5665.0,5213.0,5814.0,10.6,546.4,77.7
Faridabad,9398.0,10294.0,9437.0,14.1,671.7,51.5
Gwalior,9436.0,9463.0,8321.0,11.0,755.1,79.0
Jabalpur,9763.0,8204.0,8944.0,12.7,705.4,86.6
Jamshedpur,2863.0,2386.0,2287.0,13.4,171.1,60.8
Jodhpur,7695.0,7663.0,6632.0,11.4,582.8,43.5
Kannur,3536.0,4085.0,3862.0,16.4,235.1,92.4
Kollam,7539.0,11191.0,10349.0,11.1,932.3,96.7
Kota,5301.0,5667.0,4673.0,10.0,466.8,48.4
Ludhiana,4706.0,4081.0,3826.0,16.1,237.1,62.3
Madurai,4121.0,4187.0,3354.0,14.6,229.4,52.7
Malappuram,4235.0,5466.0,2751.0,17.0,161.9,89.9
Meerut,5113.0,4725.0,4964.0,14.3,348.4,74.9
Nasik,3547.0,4768.0,4763.0,15.6,304.7,56.4
Prayagraj,4529.0,4079.0,3657.0,12.2,300.5,62.0
Raipur,6791.0,6076.0,5905.0,11.2,525.8,66.1
Rajkot,6852.0,5368.0,5112.0,13.9,367.5,87.7
Ranchi,4330.0,4533.0,4129.0,11.3,366.4,48.4
Srinagar,2725.0,2377.0,2022.0,12.7,158.8,67.4
Thiruvananthapuram,14353.0,19606.0,18749.0,16.9,1111.4,95.3
Thrissur,8939.0,10136.0,8550.0,18.5,460.9,92.6
Tiruchirapalli,2352.0,2367.0,2013.0,10.2,197.0,66.8
Vadodara,3460.0,4320.0,4448.0,18.2,244.8,85.0
Varanasi,3902.0,4951.0,5894.0,14.4,410.7,81.4
Vasai Virar,5702.0,5657.0,5158.0,12.2,422.4,71.9
Ntr (Vijayawada),13694.0,11157.0,6634.0,14.9,444.9,84.4
Vishakhapatnam,7980.0,5186.0,5973.0,17.3,345.3,90.5
+' Crime Rate Is Calculated As Crime Per One Lakh Of Population.,0.0,0.0,0.0,0.0,0.0,0.0
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0,0.0,0.0
