city,total_2022,total_2023,total_2024,total_actual_population_in_lakhs_2011,total_rate_of_cognizable_crimes_ipcsll_2024,total_chargesheeting_rate_2024
Agra,7781.0,8138.0,9422.0,17.5,539.6,82.7
Amritsar,4959.0,3844.0,3180.0,11.8,268.6,76.1
Asansol,5206.0,5345.0,5355.0,12.4,430.8,80.3
Chhatrapati Sambhajinagar,7141.0,8047.0,8356.0,11.9,702.8,76.5
Bhopal,21332.0,21441.0,17126.0,18.8,909.5,80.8
Chandigarh City,3658.0,4185.0,4069.0,10.3,396.6,70.4
Dhanbad,3326.0,3270.0,2979.0,11.9,249.3,77.5
Durg-Bhilainagar,8395.0,7340.0,7329.0,10.6,688.8,82.6
Faridabad,14042.0,15062.0,13323.0,14.1,948.3,66.2
Gwalior,12707.0,13269.0,9893.0,11.0,897.7,82.3
Jabalpur,15351.0,14139.0,15414.0,12.7,1215.6,92.2
Jamshedpur,3448.0,2959.0,2959.0,13.4,221.3,65.0
Jodhpur,9840.0,9824.0,8903.0,11.4,782.3,56.4
Kannur,13141.0,18593.0,14355.0,16.4,873.7,97.8
Kollam,18794.0,26264.0,24926.0,11.1,2245.6,98.5
Kota,7136.0,8032.0,7105.0,10.0,709.8,65.7
Ludhiana,6789.0,5936.0,5216.0,16.1,323.2,70.6
Madurai,12289.0,15024.0,15158.0,14.6,1036.8,76.3
Malappuram,7999.0,10986.0,10890.0,17.0,641.0,97.3
Meerut,6795.0,10312.0,8612.0,14.3,604.4,68.4
Nasik,4441.0,5786.0,6044.0,15.6,386.7,64.1
Prayagraj,10466.0,9196.0,7033.0,12.2,577.9,39.4
Raipur,10495.0,10434.0,10872.0,11.2,968.1,80.6
Rajkot,13917.0,12372.0,12810.0,13.9,920.9,95.0
Ranchi,5245.0,5580.0,5292.0,11.3,469.6,53.9
Srinagar,3125.0,2714.0,2353.0,12.7,184.8,73.0
Thiruvananthapuram,26044.0,32363.0,30882.0,16.9,1830.6,96.5
Thrissur,19078.0,22497.0,20636.0,18.5,1112.5,95.4
Tiruchirapalli,17954.0,14820.0,11370.0,10.2,1112.5,84.1
Vadodara,15200.0,13703.0,14165.0,18.2,779.6,95.2
Varanasi,4753.0,5699.0,6772.0,14.4,471.9,82.9
Vasai Virar,7270.0,7302.0,6639.0,12.2,543.7,77.6
Ntr (Vijayawada),15425.0,12514.0,9036.0,14.9,606.0,90.8
Vishakhapatnam,8563.0,5746.0,7262.0,17.3,419.8,91.7
'+' Crime Rate Is Calculated As Crime Per One Lakh Of Population.,0.0,0.0,0.0,0.0,0.0,0.0
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0,0.0,0.0
