city,murder_gain,murder_personal_vendetta_or_enmity,murder_dowry,murder_witchcraft,murder_child_human_sacrifice,murder_communal_religious,murder_casteism,murder_sl,murder_city,murder_class_conflict,murder_for_political_reason,murder_honour_killing,murder_love_affairs,murder_illicit_relationship,murder_extremism_insurgency,murder_during_dacoity_robbery,murder_gang_rivalry,murder_psychopathserial_killers,murder_sale_of_body_parts,murder_disputes_disputes_total,murder_property_land_dispute,murder_family_dispute,murder_petty_quarrel_dispute,murder_disputes_money_dispute,murder_water_dispute,murder_due_to_accidents_on_roads,murder_blind_murderno_cluemotive_not_known,murder_other_causes_or_motive,murder_total_motives_of_murder
Agra,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,53.0
Amritsar,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,3.0,12.0,1.0,0.0,0.0,2.0,0.0,29.0
Asansol,0.0,3.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,56.0
Chhatrapati Sambhajinagar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,37.0,1.0,10.0,25.0,1.0,0.0,0.0,0.0,0.0,46.0
Bhopal,1.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,7.0,8.0,0.0,0.0,0.0,3.0,13.0,42.0
Chandigarh City,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,22.0
Dhanbad,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Durg-Bhilainagar,1.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0
Faridabad,5.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,10.0,6.0,1.0,2.0,1.0,0.0,0.0,6.0,39.0,79.0
Gwalior,0.0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,2.0,5.0,9.0,2.0,0.0,0.0,2.0,0.0,35.0
Jabalpur,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,34.0,3.0,6.0,21.0,4.0,0.0,0.0,0.0,1.0,51.0
Jamshedpur,23.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,43.0
Jodhpur,2.0,5.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,33.0
Kannur,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
Kollam,1.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Kota,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,34.0
Ludhiana,0.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,24.0,2.0,3.0,19.0,0.0,0.0,0.0,6.0,2.0,56.0
Madurai,1.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,12.0,17.0,1.0,0.0,0.0,0.0,0.0,38.0
Malappuram,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
Meerut,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,39.0
Nasik,0.0,17.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,10.0,1.0,0.0,0.0,4.0,1.0,40.0
Prayagraj,1.0,2.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,29.0
Raipur,1.0,25.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,47.0
