city,women_2022,women_2023,women_2024,women_actual_population_in_lakhs_2011,women_rate_of_total_crime_against_women_2024,women_chargesheeting_rate_2024
Agra,962.0,1030.0,1098.0,8.0,136.6,85.5
Amritsar,226.0,306.0,256.0,5.5,46.2,81.5
Asansol,447.0,695.0,722.0,6.0,121.3,87.9
Chhatrapati Sambhajinagar,834.0,977.0,1064.0,5.7,186.9,83.6
Bhopal,2047.0,1886.0,1747.0,9.0,194.5,78.1
Chandigarh City,325.0,371.0,452.0,4.6,97.7,63.5
Dhanbad,297.0,302.0,141.0,5.6,25.1,89.7
Durg-Bhilainagar,589.0,504.0,451.0,5.2,87.0,68.6
Faridabad,1213.0,1424.0,1341.0,6.5,205.0,63.4
Gwalior,1128.0,1159.0,1112.0,5.1,216.7,86.9
Jabalpur,1039.0,809.0,813.0,6.0,134.5,76.8
Jamshedpur,330.0,266.0,319.0,6.4,49.8,78.5
Jodhpur,1380.0,1304.0,907.0,5.4,168.4,64.9
Kannur,370.0,445.0,415.0,8.9,46.9,95.7
Kollam,809.0,707.0,708.0,5.8,122.0,96.9
Kota,1090.0,1026.0,648.0,4.7,137.4,64.6
Ludhiana,626.0,441.0,502.0,7.4,67.9,74.5
Madurai,283.0,260.0,233.0,7.3,31.9,80.4
Malappuram,401.0,410.0,439.0,8.9,49.4,96.5
Meerut,825.0,589.0,827.0,6.7,123.4,78.4
Nasik,550.0,702.0,813.0,7.4,110.1,75.7
Prayagraj,496.0,589.0,510.0,5.6,90.9,88.8
Raipur,825.0,706.0,611.0,5.4,112.3,48.2
Rajkot,345.0,381.0,334.0,6.6,50.6,85.4
Ranchi,332.0,364.0,308.0,5.4,57.0,82.8
Srinagar,446.0,399.0,339.0,6.0,56.9,75.9
Thiruvananthapuram,591.0,760.0,713.0,8.7,81.7,93.9
Thrissur,822.0,860.0,683.0,9.8,69.8,92.2
Tiruchirapalli,110.0,119.0,108.0,5.1,21.0,83.5
Vadodara,218.0,300.0,286.0,8.7,32.8,87.5
Varanasi,534.0,680.0,876.0,6.7,130.0,85.4
Vasai Virar,1154.0,1191.0,1115.0,5.7,195.0,71.0
Ntr (Vijayawada),2366.0,2221.0,1656.0,7.4,223.7,94.4
Vishakhapatnam,1329.0,997.0,1182.0,8.6,138.2,96.0
+' Crime Rate Is Calculated As Crime Per One Lakh Of Population.,0.0,0.0,0.0,0.0,0.0,0.0
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0,0.0,0.0
