city,child_2022,child_2023,child_2024,child_chargesheeting_rate_2024
Agra,0.0,171.0,125.0,94.5
Amritsar,127.0,145.0,98.0,70.7
Asansol,99.0,142.0,145.0,66.7
Chhatrapati Sambhajinagar,349.0,420.0,427.0,52.9
Bhopal,1056.0,1188.0,1226.0,49.1
Chandigarh City,224.0,294.0,255.0,36.4
Dhanbad,76.0,77.0,29.0,100.0
Durg-Bhilainagar,390.0,374.0,412.0,51.7
Faridabad,736.0,780.0,968.0,38.7
Gwalior,459.0,603.0,665.0,60.3
Jabalpur,594.0,463.0,473.0,31.8
Jamshedpur,16.0,26.0,43.0,94.3
Jodhpur,337.0,420.0,317.0,57.9
Kannur,132.0,132.0,136.0,94.9
Kollam,203.0,165.0,266.0,97.2
Kota,340.0,357.0,285.0,51.0
Ludhiana,275.0,258.0,368.0,57.4
Madurai,148.0,110.0,129.0,86.9
Malappuram,184.0,189.0,200.0,94.7
Meerut,289.0,86.0,152.0,82.9
Nasik,404.0,396.0,493.0,44.3
Prayagraj,49.0,75.0,56.0,83.6
Raipur,500.0,482.0,396.0,25.0
Rajkot,127.0,199.0,171.0,64.6
Ranchi,51.0,64.0,34.0,100.0
Srinagar,108.0,117.0,16.0,92.3
Thiruvananthapuram,223.0,194.0,262.0,94.0
Thrissur,281.0,310.0,205.0,85.3
Tiruchirapalli,75.0,96.0,111.0,84.8
Vadodara,108.0,144.0,174.0,72.5
Varanasi,145.0,183.0,232.0,60.7
Vasai Virar,749.0,792.0,810.0,38.0
Ntr (Vijayawada),554.0,312.0,267.0,86.3
Vishakhapatnam,178.0,117.0,151.0,89.3
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0
