crime_head,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
Rape,83,0,0,0,0,31,0,0,31,1,0,58,0,0,58,89,0,0,89
Attempt to Commit Rape,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Sexual Intercourse by employing deceitful means,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Disclosure of Identity of Victim,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Assault on Women with Intent to Outrage her Modesty,42,1,0,0,1,16,0,0,16,5,0,31,0,0,31,48,0,0,48
Sexual Harassment,3,0,0,0,0,1,0,0,1,6,0,2,0,0,2,3,0,0,3
Assault or use of Criminal Force on women with intent to Disrobe,1,0,0,0,0,0,0,0,0,7,0,1,0,0,1,1,0,0,1
Voyeurism,2,0,0,0,0,0,0,0,0,8,0,4,0,0,4,4,0,0,4
Stalking,19,0,0,0,0,5,0,0,5,9,0,7,0,0,7,12,0,0,12
Insult to the Modesty of Women,1,0,0,0,0,1,0,0,1,10,0,0,0,0,0,1,0,0,1
Dowry Deaths,1,0,0,0,0,0,0,0,0,11,0,1,0,0,1,1,0,0,1
Cruelty by Husband or his Relatives,1,0,0,0,0,0,0,0,0,12,0,1,0,0,1,1,0,0,1
Kidnapping and Abduction of Women to compel her for marriage,17,0,0,0,0,1,0,0,1,13,0,17,0,0,17,18,0,0,18
Offences of Miscarriage,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Foeticide,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
Infanticide,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Exposure and Abandonment,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"Hiring, employing or engaging a child to commit an offence",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
Procuration of Children,3,0,0,0,0,0,0,0,0,19,0,3,0,0,3,3,0,0,3
Kidnapping or Abducting a child with intent to steal from its persons,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Selling of Child for Prostitution,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
Buying of Child for Prostitution,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Murder,94,0,0,0,0,31,1,0,32,23,0,90,1,0,91,121,2,0,123
Culpable Homicide not amounting to Murder,3,0,0,0,0,0,0,0,0,24,0,1,0,0,1,1,0,0,1
Causing Death by Negligence,16,0,0,0,0,5,0,0,5,25,0,12,0,0,12,17,0,0,17
Abetment of Suicide,6,0,0,0,0,1,0,0,1,26,0,6,0,0,6,7,0,0,7
Attempt to Commit Murder,136,1,0,0,1,32,0,0,32,27,0,197,0,0,197,230,0,0,230
Attempt to commit Culpable Homicide,34,0,0,0,0,14,0,0,14,28,0,31,0,0,31,45,0,0,45
Organised Crime,1,0,0,0,0,0,0,0,0,29,0,2,0,0,2,2,0,0,2
Petty Organised Crime,1,0,0,0,0,0,0,0,0,30,0,2,0,0,2,2,0,0,2
Terrorist Act,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
Hurt or Grievous Hurt,314,3,0,0,3,132,0,1,133,32,0,291,1,0,292,426,1,1,428
Wrongful Restraint/Confinement,12,0,0,0,0,0,0,0,0,33,0,14,0,0,14,14,0,0,14
Kidnapping and Abduction,65,0,0,0,0,16,0,0,16,34,0,41,0,0,41,57,0,0,57
● As per data provided by States/UTs       Trans=Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABLE 5B.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juveniles Apprehended - IPC/BNS Crimes in Metropolitan Cities (Crime Head, Age Group & Gender-wise) - 2024 (Continued)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences against State,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Unlawful Assembly,9,0,0,0,0,5,0,0,5,36,0,4,0,0,4,9,0,0,9
Rioting,73,0,0,0,0,15,2,0,17,37,0,84,0,0,84,99,2,0,101
Promoting enmity between groups,2,0,0,0,0,1,0,0,1,38,0,6,0,0,6,7,0,0,7
"Imputation, assertions prejudicial to national integration",0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Affray,2,0,0,0,0,0,0,0,0,40,0,5,0,0,5,5,0,0,5
Theft,433,1,0,0,1,152,0,0,152,41,0,387,2,0,389,540,2,0,542
Snatching,58,0,0,0,0,12,0,0,12,42,0,72,0,0,72,84,0,0,84
Extortion,12,0,0,0,0,0,0,0,0,43,0,14,0,0,14,14,0,0,14
Robbery,90,1,0,0,1,28,0,0,28,44,0,104,0,0,104,133,0,0,133
Dacoity,6,0,0,0,0,2,0,0,2,45,0,5,0,0,5,7,0,0,7
Attempt to Commit Dacoity/Robbery,2,0,0,0,0,0,0,0,0,46,0,2,0,0,2,2,0,0,2
Making Preparation and Assembly for committing Dacoity,3,0,0,0,0,0,0,0,0,47,0,7,0,0,7,7,0,0,7
Criminal Misappropriation,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Criminal Breach of Trust,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
Dishonestly Receiving/Dealing-in Stolen Property,13,0,0,0,0,2,0,0,2,50,0,13,0,0,13,15,0,0,15
Burglary,120,1,0,0,1,45,0,0,45,51,0,127,1,0,128,173,1,0,174
Counterfeiting,1,0,0,0,0,0,0,0,0,52,0,2,0,0,2,2,0,0,2
"Forgery, Cheating & Fraud",5,0,0,0,0,1,0,0,1,53,0,4,0,0,4,5,0,0,5
Abetment outside India for offence in India,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
Offences relating to Elections,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Disobedience to order duly promulgated by Public Servant,1,0,0,0,0,1,0,0,1,56,0,0,0,0,0,1,0,0,1
Harbouring an Offender,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
Rash Driving on Public way,48,0,0,0,0,14,1,0,15,58,0,34,0,0,34,48,1,0,49
Obstruction on Public way,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Sale of obscene Books/Objects,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
Obscene Acts and Songs at Public Places,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Offences relating to Religion,1,0,0,0,0,0,0,0,0,62,0,1,0,0,1,1,0,0,1
Cheating by Impersonation,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
Offences related to Mischief,5,0,0,0,0,6,0,0,6,64,0,3,0,0,3,9,0,0,9
Arson,6,0,0,0,0,1,0,0,1,65,0,9,0,0,9,10,0,0,10
Criminal Trespass,15,0,0,0,0,2,0,0,2,66,0,21,0,0,21,23,0,0,23
Circulate False/Fake News/Rumours,1,0,0,0,0,0,0,0,0,67,0,2,0,0,2,2,0,0,2
Other IPC/BNS crimes,253,0,0,0,0,60,0,0,60,68,0,286,0,0,286,346,0,0,346
● As per data provided by States/UTs       Trans=Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
