city,juv_socio_education_illiterate,juv_socio_upto_primary,juv_socio_above_primary_to_matric,juv_socio_above_matric_to_high_secondary,juv_socio_above_higher_secondary,juv_socio_total,juv_socio_family_background_living_with_parents,juv_socio_living_with_guardians,juv_socio_homeless
Agra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amritsar,5.0,12.0,23.0,6.0,0.0,46.0,15.0,25.0,6.0
Asansol,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Chhatrapati Sambhajinagar,0.0,28.0,158.0,4.0,0.0,190.0,190.0,0.0,0.0
Bhopal,5.0,39.0,221.0,42.0,37.0,344.0,242.0,102.0,0.0
Chandigarh City,8.0,21.0,46.0,25.0,0.0,100.0,93.0,7.0,0.0
Dhanbad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durg-Bhilainagar,0.0,13.0,118.0,21.0,0.0,152.0,148.0,4.0,0.0
Faridabad,84.0,46.0,24.0,19.0,2.0,175.0,48.0,36.0,91.0
Gwalior,0.0,0.0,24.0,31.0,49.0,104.0,80.0,24.0,0.0
Jabalpur,0.0,98.0,53.0,28.0,0.0,179.0,158.0,21.0,0.0
Jamshedpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jodhpur,16.0,53.0,71.0,26.0,6.0,172.0,120.0,45.0,7.0
Kannur,0.0,0.0,21.0,25.0,3.0,49.0,49.0,0.0,0.0
Kollam,0.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,0.0
Kota,0.0,24.0,227.0,27.0,0.0,278.0,264.0,0.0,14.0
Ludhiana,0.0,21.0,39.0,9.0,1.0,70.0,70.0,0.0,0.0
Madurai,0.0,45.0,126.0,21.0,0.0,192.0,180.0,12.0,0.0
Malappuram,0.0,2.0,6.0,8.0,0.0,16.0,16.0,0.0,0.0
Meerut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasik,0.0,34.0,92.0,21.0,0.0,147.0,109.0,38.0,0.0
Prayagraj,1.0,3.0,9.0,12.0,0.0,25.0,24.0,0.0,1.0
Raipur,0.0,12.0,65.0,15.0,0.0,92.0,88.0,4.0,0.0
Rajkot,0.0,3.0,35.0,8.0,0.0,46.0,46.0,0.0,0.0
Ranchi,0.0,4.0,8.0,0.0,0.0,12.0,12.0,0.0,0.0
Srinagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiruvananthapuram,0.0,0.0,17.0,12.0,1.0,30.0,27.0,3.0,0.0
Thrissur,0.0,0.0,31.0,45.0,3.0,79.0,45.0,3.0,31.0
Tiruchirapalli,0.0,12.0,105.0,29.0,11.0,157.0,157.0,0.0,0.0
Vadodara,5.0,33.0,40.0,11.0,0.0,89.0,78.0,5.0,6.0
Varanasi,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0
Vasai Virar,9.0,34.0,31.0,21.0,0.0,95.0,80.0,11.0,4.0
Ntr (Vijayawada),0.0,12.0,75.0,79.0,0.0,166.0,166.0,0.0,0.0
Vishakhapatnam,7.0,23.0,55.0,11.0,6.0,102.0,102.0,0.0,0.0
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
