city,cyber_personal_revenge,cyber_emotional_motives_like_anger_etc,cyber_fraud,cyber_extortion,cyber_causing_disrepute,cyber_prank,cyber_sl,cyber_city,cyber_sexual_exploitation,cyber_political_motives,cyber_terrorist_activities,cyber_inciting_hate_against_country,cyber_disrupt_public_service,cyber_sale_purchase_illegal_drugs,cyber_developing_own_business,cyber_spreading_piracy,cyber_psycho_or_pervert,cyber_steal_information,cyber_abetment_to_suicide,cyber_others,cyber_total
Agra,0.0,0.0,136.0,13.0,25.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0
Amritsar,1.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Asansol,3.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0
Chhatrapati Sambhajinagar,0.0,3.0,49.0,0.0,8.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,74.0
Bhopal,0.0,0.0,56.0,7.0,7.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
Chandigarh City,2.0,0.0,93.0,3.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,116.0
Dhanbad,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durg-Bhilainagar,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0
Faridabad,0.0,5.0,19.0,2.0,0.0,2.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,53.0
Gwalior,0.0,0.0,51.0,3.0,8.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
