motive,total_incidents
Other Causes Or Motive,224.0
Personal Vendetta Or Enmity,196.0
Petty Quarrel Dispute,177.0
Gain,111.0
Family Dispute,109.0
Love Affairs,65.0
Illicit Relationship,52.0
Dowry,50.0
Blind Murderno Cluemotive Not Known,41.0
Property Land Dispute,40.0
Disputes Money Dispute,31.0
Gang Rivalry,17.0
Communal Religious,11.0
During Dacoity Robbery,6.0
Class Conflict,3.0
Psychopathserial Killers,2.0
Honour Killing,1.0
Witchcraft,0.0
For Political Reason,0.0
City,0.0
Casteism,0.0
Child Human Sacrifice,0.0
Sale Of Body Parts,0.0
Extremism Insurgency,0.0
Due To Accidents On Roads,0.0
Water Dispute,0.0
