,PC1,PC2,PC3,PC4
violent_crime_ratio,0.06281373653164818,0.43975540701025895,-0.22515688993003985,-0.41361300514424554
property_crime_ratio,-0.3249146581072469,-0.1524881274509775,-0.4521362643940866,0.045346432873709965
women_vulnerability_share,0.1139240868854971,0.5931462250259544,0.18282475778692997,-0.03260488423446494
child_vulnerability_share,0.10000345564628102,0.5654675859980737,0.007060770832094304,0.18640772391732505
caste_atrocity_share,0.34719497080586537,0.04420004392046169,0.16475423281156432,0.0400569610153471
juvenile_delinquency_ratio,0.19789614139258294,0.08226166607003907,-0.29087981061597257,0.8236083765856249
cyber_crime_intensity_per_1k,-0.30532587869082845,0.022248853731714646,0.594324619118866,0.32230663200166465
trafficking_vulnerability_proxy,0.1415096876418957,-0.1885963440383847,0.49329508303625275,-0.06052428449843707
log_total_crime,0.5371907171792952,-0.17286758803081886,-0.044584776321399115,-0.05231593353144311
log_contraband,0.5531505488442496,-0.19266316944062029,-0.03313323438378496,-0.028983373403239095
